sectorCode,sector,unit,ISO,country,variable,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,RUS,RUSSIAN FEDERATION,KYOTOGHGAR4,3781.824,3574.4356,3024.8203,2820.6923,2518.1242,2461.4093,2396.7124,2279.6459,2255.8453,2280.0224,2280.5337,2342.5605,2347.9085,2428.7631,2484.3694,2507.828,2572.1554,2581.4539,2602.4336,2486.0403,2602.7754,2666.7731,2715.0329,2643.8718,2648.5733,2658.0458,2671.571,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,RWA,RWANDA,KYOTOGHGAR4,3.4489,3.4319,3.3636,3.2396,3.0971,3.1172,3.3294,3.6838,3.9098,4.2671,4.1141,4.3239,4.4398,4.772,5.1039,5.3316,5.6792,5.9374,6.2063,6.3989,6.724,6.7151,6.8873,7.0555,7.13,7.3243,7.6265,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SAU,SAUDI ARABIA,KYOTOGHGAR4,227.3231,287.857,301.0425,319.4811,336.428,280.6214,304.1829,275.0446,267.057,279.0336,344.7993,350.8889,375.5185,389.8135,446.4528,454.4049,487.6018,455.1097,499.1179,524.9168,576.0224,561.9178,615.0784,599.0158,654.1403,671.0484,676.4054,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SDN,"SUDAN, REPUBLIC OF THE",KYOTOGHGAR4,49.8059,51.3179,55.6824,58.4073,64.1504,65.6323,67.6656,70.6854,72.2981,74.9758,78.8269,80.8552,85.2088,88.0387,91.2637,93.1323,93.189,97.1611,97.6932,99.5722,99.4059,97.5724,99.7938,102.6701,102.3208,104.7946,105.8304,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SEN,SENEGAL,KYOTOGHGAR4,14.2791,14.7804,15.0138,15.4155,15.8969,15.612,15.9786,15.3841,15.3753,16.472,17.4663,18.8576,17.6436,17.0873,18.6825,19.7249,19.145,18.8284,19.731,19.1039,23.4979,24.0365,22.524,23.9098,24.1047,24.9409,25.118,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SGP,SINGAPORE,KYOTOGHGAR4,23.2931,23.8744,25.3409,26.8203,32.1838,26.8712,32.8217,41.5886,39.0209,42.9513,48.2499,50.8702,43.8768,32.3588,30.6973,32.8537,34.1128,25.8369,39.3802,55.0537,55.3691,55.6724,57.2855,82.4541,83.7511,88.748,94.5039,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SHN,"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",KYOTOGHGAR4,0.010988,0.010411,0.010407,0.014118,0.013611,0.013655,0.013479,0.013376,0.013399,0.013401,0.013652,0.013506,0.013531,0.013547,0.013748,0.013789,0.01373,0.01384,0.014022,0.014019,0.014048,0.014061,0.014049,0.014171,0.01422,0.014228,0.014149,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SLB,SOLOMON ISLANDS,KYOTOGHGAR4,0.25363,0.2567,0.25414,0.25653,0.25271,0.26284,0.26668,0.26845,0.26861,0.27983,0.29009,0.29654,0.30301,0.31205,0.31981,0.31764,0.32669,0.35027,0.36307,0.37382,0.3808,0.384,0.38763,0.39775,0.4025,0.42054,0.46395,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SLE,SIERRA LEONE,KYOTOGHGAR4,3.5392,3.5649,3.4578,3.5244,3.5142,3.2906,3.2982,3.3375,3.2447,3.0863,3.1135,3.4239,3.7612,3.9632,4.396,4.6001,5.3107,4.688,5.0421,5.1536,5.4431,5.9419,6.5335,6.8744,6.838,6.4638,7.3889,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SLV,EL SALVADOR,KYOTOGHGAR4,7.1515,7.9457,8.1913,8.5227,9.3933,9.5036,9.55,10.6105,10.4882,10.4868,10.3352,10.899,11.0337,11.4104,11.4264,11.7055,12.2059,12.3905,12.0564,11.7166,11.5256,11.4298,11.673,10.3302,10.6376,12.1582,12.4055,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SMR,SAN MARINO,KYOTOGHGAR4,0.21566,0.22109,0.22147,0.22025,0.2212,0.23576,0.23819,0.24344,0.25137,0.25581,0.2643,0.26505,0.26865,0.27678,0.28045,0.28144,0.28046,0.27922,0.27291,0.251,0.25739,0.25431,0.24236,0.20807,0.19551,0.21985,0.21657,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SOM,SOMALIA,KYOTOGHGAR4,25.3436,22.3808,20.4389,22.3499,24.1954,24.7678,25.3046,25.8509,25.8109,26.0342,26.358,26.9559,27.3982,27.6368,28.3242,28.8626,27.6306,26.5262,26.6379,26.6926,26.9568,27.1627,27.4611,27.7874,28.0032,28.3022,28.2162,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SRB,SERBIA,KYOTOGHGAR4,78.6794,56.2946,62.1088,55.3314,53.8729,56.8413,64.5962,68.7248,71.0593,53.6326,57.8089,61.1555,64.6391,67.4511,73.7412,70.3814,74.5845,73.91,73.3631,68.1664,68.293,72.3613,67.8742,68.6835,61.6328,72.1609,75.0316,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SSD,"SOUTH SUDAN, REPUBLIC OF",KYOTOGHGAR4,37.5343,38.1007,39.7742,41.106,42.7226,43.2419,42.3932,43.7704,46.8855,47.7633,51.3873,45.4375,53.0328,51.1706,52.4169,55.1254,49.0827,55.2819,53.6149,54.9244,49.278,52.1618,52.9819,53.4627,55.0302,54.9312,55.2057,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,STP,SAO TOME AND PRINCIPE,KYOTOGHGAR4,0.084456,0.086113,0.08693,0.087274,0.087078,0.088009,0.088677,0.090134,0.090032,0.091488,0.10538,0.10853,0.11808,0.12991,0.13656,0.14264,0.14753,0.15117,0.15437,0.16374,0.17236,0.17764,0.19045,0.19515,0.19763,0.22582,0.23472,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SUR,SURINAME,KYOTOGHGAR4,3.1686,3.5045,3.6205,3.4829,3.459,3.5141,3.5929,3.5562,3.5132,3.2536,3.2333,3.4116,2.432,2.4993,2.5133,2.5008,2.6846,2.6728,2.9229,3.0482,3.455,3.0468,3.2888,2.9636,3.0769,3.3491,3.4198,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SVK,SLOVAKIA,KYOTOGHGAR4,74.225,64.6119,59.1112,55.629,52.9652,54.2139,54.6132,54.3838,52.9312,51.6583,49.775,52.2958,50.3758,50.6862,51.4211,51.34,51.1492,49.2583,49.8251,45.4302,46.4124,45.4081,43.1846,42.7853,40.6605,41.1003,41.2267,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SVN,SLOVENIA,KYOTOGHGAR4,20.4174,18.9424,19.5886,19.5337,19.9242,19.7585,20.4696,20.6089,20.2557,19.5369,19.7676,20.6928,20.88,20.5929,20.9373,21.2457,21.4427,21.5913,22.3136,20.3326,20.3539,20.3737,19.8036,19.0892,17.3537,17.5427,18.3975,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SWE,SWEDEN,KYOTOGHGAR4,74.3358,74.2886,73.77,74.0466,76.5269,76.3625,79.9183,75.1935,75.7198,72.7688,71.5254,72.2316,72.8822,72.8323,71.8368,69.3135,70.9622,68.7104,66.379,61.6058,67.9047,63.0895,59.6382,58.6501,57.1249,56.2486,55.5993,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SWZ,SWAZILAND,KYOTOGHGAR4,2.0828,2.0859,2.074,1.7734,2.129,2.1251,2.0581,2.8431,2.8074,2.8689,2.7637,2.6668,2.6592,2.63,2.6915,2.6821,2.5799,2.7236,2.6899,2.5634,2.4861,2.4945,2.6723,2.6195,2.7106,2.7185,2.7107,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SYC,SEYCHELLES,KYOTOGHGAR4,0.22438,0.25228,0.24835,0.2604,0.2686,0.26713,0.30177,0.41444,0.49936,0.57737,0.65316,0.71555,0.62935,0.64557,0.83339,0.78656,0.82956,0.74712,0.80798,0.63948,0.56029,0.45965,0.55752,0.53182,0.62803,0.57112,0.55889,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,SYR,SYRIAN ARAB REPUBLIC,KYOTOGHGAR4,64.7662,73.3438,77.403,83.2038,85.3341,78.3669,77.948,73.8532,81.659,82.124,79.5846,72.9932,61.8788,77.4587,73.8061,73.9478,76.9144,90.1256,89.8704,85.0763,83.9132,79.1025,65.1793,54.6159,47.835,62.7462,60.5324,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,TCA,TURKS AND CAICOS ISLANDS,KYOTOGHGAR4,0.03374,0.034147,0.038195,0.045945,0.05007,0.054206,0.054524,0.06224,0.066386,0.074188,0.078478,0.082817,0.10923,0.11391,0.11486,0.134,0.15667,0.17962,0.1948,0.19532,0.20686,0.20737,0.21514,0.21642,0.22448,0.23224,0.23664,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,TCD,CHAD,KYOTOGHGAR4,16.81,16.9876,17.2528,17.4469,17.6365,17.9383,18.3647,18.8458,18.8164,19.9303,21.7822,20.6177,22.408,23.976,24.0857,25.2186,24.6475,25.8353,25.7893,24.2508,25.0884,26.66,26.5549,27.5025,27.8693,29.0719,29.5506,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,TGO,TOGO,KYOTOGHGAR4,5.9102,5.7259,5.8855,6.4182,6.2185,5.9818,6.7998,7.3586,6.8604,7.9255,7.2368,7.4419,7.8355,8.3535,8.5446,8.5258,8.1834,8.2467,8.5199,10.276,10.9159,10.5391,11.7086,11.0896,12.2727,12.8267,13.1839,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,THA,THAILAND,KYOTOGHGAR4,185.1958,198.4184,209.7926,224.5953,239.4373,259.1336,278.2516,286.4912,263.6192,278.422,282.1267,297.3849,310.8004,333.8293,353.9521,360.2062,366.0237,375.0958,377.6498,397.0102,418.7166,412.9353,434.9761,436.1451,448.6089,453.1658,456.425,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,TJK,TAJIKISTAN,KYOTOGHGAR4,28.7206,29.9662,25.9287,21.7443,15.4532,12.5423,10.3,10.1598,8.9082,8.5203,8.4226,8.3849,8.3085,8.6626,9.6307,9.1693,9.8191,9.0361,9.1227,9.7252,9.6683,9.3499,10.0032,10.6888,11.8759,11.8009,12.0463,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,TKL,TOKELAU,KYOTOGHGAR4,0.00046552,0.00046474,0.00046292,0.00046357,0.00046103,0.00045842,0.00045858,0.00045869,0.00045888,0.0004589,0.00045873,0.00045848,0.00045807,0.00045749,0.00045765,0.00045725,0.00045646,0.00045621,0.00045628,0.00045605,0.0004562,0.00045612,0.00045634,0.00045387,0.00045364,0.00045341,0.00045318,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,TKM,TURKMENISTAN,KYOTOGHGAR4,58.5093,58.4152,41.0756,43.9243,39.9527,40.5158,42.5836,33.4273,36.8275,48.3204,57.6288,60.1871,65.3279,72.2282,71.5159,76.4505,79.7592,81.8461,86.2133,68.6855,75.9907,86.1917,91.6756,94.1463,96.2321,102.2703,104.1475,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,TLS,TIMOR-LESTE,KYOTOGHGAR4,0.6208,0.71841,0.73627,0.77066,0.92151,0.95996,1.0282,1.0928,1.1661,1.364,1.6454,1.5113,1.47,1.4715,2.1642,1.7817,1.9492,2.3929,2.4194,2.5892,2.4336,2.6508,2.6898,2.9722,3.0989,3.1749,3.3234,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,TON,TONGA,KYOTOGHGAR4,0.17444,0.1936,0.17193,0.18631,0.19203,0.19009,0.17735,0.19718,0.18579,0.21081,0.19793,0.18999,0.20307,0.24093,0.21483,0.21788,0.23211,0.2155,0.224,0.26159,0.23989,0.20901,0.2279,0.23588,0.22752,0.23622,0.2589,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,TTO,TRINIDAD AND TOBAGO,KYOTOGHGAR4,26.5603,27.0515,29.3981,27.4518,27.5405,26.0398,31.4153,28.6378,31.11,36.4511,39.4951,43.3355,47.2138,53.5886,57.7658,68.1063,75.5719,79.283,78.0385,78.276,83.256,81.4055,77.2816,86.8375,88.3646,89.4384,87.303,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,TUN,TUNISIA,KYOTOGHGAR4,20.6573,23.634,24.2434,26.2379,25.2239,24.939,26.6568,26.7373,28.2487,28.9031,30.4247,31.3454,31.068,31.512,32.7374,33.4313,34.1375,35.1245,36.2819,36.7525,39.3369,37.8223,38.7979,39.2472,40.5704,37.8164,37.5951,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,TUR,TURKEY,KYOTOGHGAR4,219.9664,226.6324,232.5287,240.5192,235.2185,249.5142,267.4091,279.5204,282.0938,279.5196,300.514,280.6052,287.06,307.1954,318.6981,340.1056,365.2902,397.3136,395.8747,403.2115,408.8151,439.0003,452.9049,446.3568,459.2066,477.3513,503.511,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,TUV,TUVALU,KYOTOGHGAR4,0.015762,0.016531,0.01665,0.016519,0.016647,0.016698,0.016743,0.016885,0.016925,0.017072,0.017081,0.017139,0.021048,0.021113,0.021178,0.021244,0.017655,0.02147,0.021594,0.021743,0.018164,0.018267,0.02206,0.022128,0.022252,0.023081,0.025293,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,TWN,TAIWAN,KYOTOGHGAR4,143.6233,155.1448,165.2923,177.1334,184.5614,195.5979,205.187,222.0451,224.073,232.3713,246.5021,254.7063,265.3663,275.0997,290.0746,287.6594,298.129,308.276,292.5609,277.5624,301.4195,302.4816,295.1149,295.0957,299.717,296.0803,303.3625,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,TZA,"TANZANIA, UNITED REPUBLIC OF",KYOTOGHGAR4,43.2107,43.7715,43.9158,44.8474,45.0141,49.5476,47.4947,46.8297,50.5743,52.1611,50.3671,55.515,55.9494,61.2632,61.3761,65.1159,63.2947,65.7961,68.2232,69.2368,73.0939,76.7523,79.824,85.003,86.9388,90.1214,92.1509,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,UGA,UGANDA,KYOTOGHGAR4,18.1706,18.739,19.2204,19.6644,19.4992,19.9081,20.1651,21.2113,22.5338,22.2117,22.7231,23.5991,24.1199,26.4448,26.6892,29.7764,27.3907,30.9538,37.3134,37.096,39.5973,39.7472,41.2781,42.3704,43.3397,45.3337,47.1546,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,UKR,UKRAINE,KYOTOGHGAR4,951.8497,865.2992,807.3556,716.1831,608.9302,563.7084,517.0415,500.4943,475.6295,444.186,422.3203,445.0842,431.4216,440.003,440.7761,445.3222,463.0734,466.1164,453.7026,392.7567,409.0528,429.7146,419.6713,410.1614,363.9287,320.889,340.505,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,UMBRELLA,Umbrella group,KYOTOGHGAR4,13664.3471,13318.4297,12856.2533,12666.0853,12444.9372,12473.4936,12591.2324,12542.705,12522.5331,12596.0116,12785.789,12730.1754,12777.5578,12936.5566,13134.9027,13168.7602,13148.1838,13321.8044,13024.9448,12274.5636,12700.4207,12684.9323,12534.0937,12637.8158,12592.5092,12397.999,12281.6317,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,URY,URUGUAY,KYOTOGHGAR4,31.4241,33.1421,35.0367,35.0913,34.6315,34.7697,36.2371,35.7503,35.0567,35.9942,33.8563,33.6025,33.6803,33.2023,33.8043,35.0534,38.0189,37.1473,40.2948,40.1046,37.6219,40.1214,42.0525,40.9108,40.2352,41.0943,41.3246,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,USA,UNITED STATES OF AMERICA,KYOTOGHGAR4,6509.4305,6451.4858,6562.6861,6671.8656,6771.225,6853.8325,7037.3899,7099.69,7157.3061,7193.4306,7349.4207,7234.4005,7258.5563,7299.7267,7430.6095,7434.1581,7358.8181,7452.5722,7238.54,6782.7472,7007.9517,6851.9825,6608.4313,6780.6,6829.7921,6699.178,6566.8436,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,UZB,UZBEKISTAN,KYOTOGHGAR4,191.8553,194.8977,188.6539,220.9739,199.7691,200.937,206.3313,195.8005,188.4106,197.7214,216.3165,219.4276,225.0033,222.3801,219.2203,217.2508,235.5248,235.8789,252.1981,228.311,219.5286,224.3585,225.7251,229.5396,234.0223,242.3748,234.2368,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,VAT,HOLY SEE (VATICAN CITY STATE ),KYOTOGHGAR4,0.0069602,0.0069862,0.0069565,0.0068348,0.0067632,0.0071416,0.0071197,0.0071981,0.00737,0.0074813,0.0075739,0.0075181,0.0076392,0.0078762,0.0079325,0.0079097,0.0077483,0.0075881,0.0073296,0.0066286,0.0067499,0.0065789,0.0064295,0.0063611,0.0063005,0.00624,0.0061805,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,VCT,SAINT VINCENT AND THE GRENADINES,KYOTOGHGAR4,0.15233,0.14134,0.14463,0.15992,0.17143,0.17887,0.18308,0.1843,0.23312,0.26358,0.2659,0.29737,0.29326,0.29937,0.32034,0.32152,0.3225,0.33234,0.33402,0.41775,0.32745,0.30753,0.36157,0.31952,0.32036,0.32865,0.33491,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,VEN,"VENEZUELA, BOLIVARIAN REPUBLIC OF",KYOTOGHGAR4,191.9874,187.1536,178.2186,199.8801,207.9116,220.6891,210.7076,225.105,260.3057,260.6732,242.4501,261.3943,278.7106,276.7624,241.7529,257.1805,261.531,253.265,273.9822,274.4026,278.2353,268.7245,299.0306,279.0662,280.6264,271.816,264.5348,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,VGB,VIRGIN ISLANDS (BRITISH),KYOTOGHGAR4,0.080142,0.081094,0.085013,0.088602,0.096125,0.099983,0.11141,0.11493,0.11872,0.11896,0.11925,0.12302,0.13045,0.13822,0.14213,0.14963,0.16078,0.16885,0.18007,0.18389,0.19145,0.19588,0.19606,0.19613,0.20203,0.20851,0.21205,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,VNM,VIET NAM,KYOTOGHGAR4,83.4957,86.5334,88.3553,91.6751,97.1121,103.8222,114.7973,127.5808,136.6228,142.9643,152.1168,159.9086,174.5346,187.5855,209.2387,218.1409,225.8233,231.9289,247.8415,267.7149,282.1794,289.846,281.1163,288.5428,308.1053,340.2117,357.892,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,VUT,VANUATU,KYOTOGHGAR4,0.43883,0.45179,0.46913,0.49565,0.50129,0.50684,0.52778,0.52869,0.5269,0.5324,0.51044,0.49254,0.4902,0.50775,0.49064,0.50003,0.49783,0.62559,0.6302,0.62253,0.63671,0.66261,0.65114,0.64756,0.70348,0.71989,0.74887,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,WSM,SAMOA,KYOTOGHGAR4,0.2946,0.29848,0.2982,0.30209,0.30836,0.31019,0.31898,0.32381,0.33038,0.34095,0.36442,0.3843,0.36278,0.37365,0.37266,0.38297,0.38783,0.38729,0.39179,0.40824,0.41933,0.44188,0.43935,0.4438,0.47574,0.5127,0.54094,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,YEM,YEMEN,KYOTOGHGAR4,17.8683,17.4378,18.3835,17.458,23.1683,23.4765,24.0577,27.3294,26.0118,28.4867,30.2337,31.6726,31.2921,34.9722,36.4738,39.5703,43.9375,48.5007,47.4238,52.7777,51.957,46.7135,44.4277,55.4653,53.8191,51.896,52.3085,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,ZAF,SOUTH AFRICA,KYOTOGHGAR4,374.0179,385.0981,362.7225,381.0788,399.8767,422.2317,430.6343,455.4186,450.6824,448.1053,447.8863,447.8759,461.9472,483.8718,503.3535,499.3361,507.4171,533.9096,534.0386,525.3677,531.6053,548.4491,534.337,544.2822,545.5877,527.2384,530.8761,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,ZMB,ZAMBIA,KYOTOGHGAR4,27.7987,28.0461,28.1304,28.2767,27.9518,27.428,26.5418,27.3982,29.1255,27.4405,26.6101,28.7159,27.0412,29.0732,30.3442,31.6449,29.141,29.6559,30.4733,30.0527,32.3299,31.9359,34.489,36.035,36.3244,36.4446,36.5669,
IPCM0EL,NatTotalExclLULUCF,MtCO2eq,ZWE,ZIMBABWE,KYOTOGHGAR4,27.61,26.9414,28.5954,25.3526,27.4661,33.2216,42.153,48.4365,57.4289,69.8945,70.4633,63.4395,51.4089,42.7152,36.1018,30.5856,22.8748,22.5589,20.5264,18.992,22.1555,24.2986,21.5314,24.2903,23.0999,23.7222,25.0769,